conference,team,tm_link,year
Big Sky,Weber State,weber-state,2012.0
MAAC,Manhattan,manhattan,2012.0
CUSA,Rice,rice,2012.0
MAC (East),Bowling Green State,bowling-green-state,2012.0
Ivy,Pennsylvania,pennsylvania,2012.0
A-10,Charlotte,charlotte,2012.0
AEC,Vermont,vermont,2012.0
WAC,Idaho,idaho,2012.0
NEC,Robert Morris,robert-morris,2012.0
Horizon,Valparaiso,valparaiso,2012.0
Horizon,Milwaukee,milwaukee,2012.0
MAAC,Loyola (MD),loyola-md,2012.0
Summit,Oakland,oakland,2012.0
CUSA,Houston,houston,2012.0
Summit,North Dakota State,north-dakota-state,2012.0
CUSA,Tulane,tulane,2012.0
Southern (South),College of Charleston,college-of-charleston,2012.0
A-Sun,South Carolina Upstate,south-carolina-upstate,2012.0
Sun Belt (West),North Texas,north-texas,2012.0
A-Sun,East Tennessee State,east-tennessee-state,2012.0
MWC,Air Force,air-force,2012.0
AEC,Stony Brook,stony-brook,2012.0
Pac-12,Southern California,southern-california,2012.0
Big West,Cal Poly,cal-poly,2012.0
A-10,George Washington,george-washington,2012.0
ACC,Wake Forest,wake-forest,2012.0
WAC,Fresno State,fresno-state,2012.0
Pac-12,Arizona State,arizona-state,2012.0
Big West,Cal State Fullerton,cal-state-fullerton,2012.0
CUSA,Southern Methodist,southern-methodist,2012.0
NEC,Long Island University,long-island-university,2012.0
Ivy,Yale,yale,2012.0
Southland (West),Stephen F. Austin,stephen-f-austin,2012.0
CAA,Delaware,delaware,2012.0
Horizon,Youngstown State,youngstown-state,2012.0
MAC (West),Western Michigan,western-michigan,2012.0
Southland (West),Texas-San Antonio,texas-san-antonio,2012.0
Sun Belt (West),Arkansas-Little Rock,arkansas-little-rock,2012.0
NEC,Quinnipiac,quinnipiac,2012.0
MAC (East),Miami (OH),miami-oh,2012.0
Big South,Charleston Southern,charleston-southern,2012.0
Horizon,Green Bay,green-bay,2012.0
A-Sun,Florida Gulf Coast,florida-gulf-coast,2012.0
Sun Belt (East),Florida Atlantic,florida-atlantic,2012.0
Big 12,Texas Tech,texas-tech,2012.0
Big South,Coastal Carolina,coastal-carolina,2012.0
WAC,Louisiana Tech,louisiana-tech,2012.0
Sun Belt (East),Western Kentucky,western-kentucky,2012.0
WAC,Hawaii,hawaii,2012.0
Sun Belt (East),South Alabama,south-alabama,2012.0
Summit,Western Illinois,western-illinois,2012.0
Ivy,Columbia,columbia,2012.0
MAC (West),Ball State,ball-state,2012.0
CAA,Hofstra,hofstra,2012.0
OVC,Tennessee State,tennessee-state,2012.0
Patriot,American,american,2012.0
Sun Belt (West),Arkansas State,arkansas-state,2012.0
Sun Belt (West),Louisiana-Lafayette,louisiana-lafayette,2012.0
CAA,Northeastern,northeastern,2012.0
MAC (West),Toledo,toledo,2012.0
A-Sun,North Florida,north-florida,2012.0
MVC,Southern Illinois,southern-illinois,2012.0
MEAC,Savannah State,savannah-state,2012.0
Southern (South),Wofford,wofford,2012.0
MEAC,Norfolk State,norfolk-state,2012.0
AEC,Boston University,boston-university,2012.0
WCC,San Diego,san-diego,2012.0
A-10,Rhode Island,rhode-island,2012.0
OVC,Tennessee Tech,tennessee-tech,2012.0
Summit,IUPUI,iupui,2012.0
Big Sky,Eastern Washington,eastern-washington,2012.0
AEC,Albany (NY),albany-ny,2012.0
Big Sky,Portland State,portland-state,2012.0
Ivy,Cornell,cornell,2012.0
Horizon,Wright State,wright-state,2012.0
Ind,Seattle,seattle,2012.0
ACC,Boston College,boston-college,2012.0
A-Sun,Lipscomb,lipscomb,2012.0
OVC,Austin Peay,austin-peay,2012.0
OVC,Jacksonville State,jacksonville-state,2012.0
OVC,Morehead State,morehead-state,2012.0
Sun Belt (East),Florida International,florida-international,2012.0
NEC,Central Connecticut State,central-connecticut-state,2012.0
MAAC,Rider,rider,2012.0
CAA,North Carolina-Wilmington,north-carolina-wilmington,2012.0
MAAC,Siena,siena,2012.0
MVC,Bradley,bradley,2012.0
CAA,James Madison,james-madison,2012.0
Big South,High Point,high-point,2012.0
Patriot,Holy Cross,holy-cross,2012.0
NEC,St. Francis (NY),st-francis-ny,2012.0
Southern (South),Furman,furman,2012.0
Big South,Campbell,campbell,2012.0
Big West,California-Irvine,california-irvine,2012.0
MEAC,North Carolina Central,north-carolina-central,2012.0
OVC,Southeast Missouri State,southeast-missouri-state,2012.0
Summit,Southern Utah,southern-utah,2012.0
Big Sky,Northern Colorado,northern-colorado,2012.0
Southland (East),McNeese State,mcneese-state,2012.0
Southland (East),Northwestern State,northwestern-state,2012.0
GWC,Utah Valley,utah-valley,2012.0
Southern (North),Western Carolina,western-carolina,2012.0
MAAC,Niagara,niagara,2012.0
Southern (South),Georgia Southern,georgia-southern,2012.0
MAC (West),Central Michigan,central-michigan,2012.0
Big South,Presbyterian,presbyterian,2012.0
WCC,Santa Clara,santa-clara,2012.0
NEC,Sacred Heart,sacred-heart,2012.0
Southern (North),Appalachian State,appalachian-state,2012.0
Southern (North),Chattanooga,chattanooga,2012.0
Ind,Cal State Bakersfield,cal-state-bakersfield,2012.0
Patriot,Lafayette,lafayette,2012.0
A-Sun,Jacksonville,jacksonville,2012.0
WCC,Pepperdine,pepperdine,2012.0
Southern (North),Elon,elon,2012.0
A-Sun,Stetson,stetson,2012.0
Sun Belt (East),Troy,troy,2012.0
A-10,Fordham,fordham,2012.0
Big South,Winthrop,winthrop,2012.0
WAC,San Jose State,san-jose-state,2012.0
WCC,Portland,portland,2012.0
MAC (West),Eastern Michigan,eastern-michigan,2012.0
Big South,Gardner-Webb,gardner-webb,2012.0
Big West,California-Riverside,california-riverside,2012.0
SWAC,Mississippi Valley State,mississippi-valley-state,2012.0
Big West,Pacific,pacific,2012.0
MEAC,Delaware State,delaware-state,2012.0
MAAC,Marist,marist,2012.0
MEAC,Morgan State,morgan-state,2012.0
Horizon,Loyola (IL),loyola-il,2012.0
OVC,Eastern Kentucky,eastern-kentucky,2012.0
AEC,Maine,maine,2012.0
Southland (West),Texas State,texas-state,2012.0
Southern (North),Samford,samford,2012.0
GWC,North Dakota,north-dakota,2012.0
Summit,IPFW,ipfw,2012.0
Summit,Missouri-Kansas City,missouri-kansas-city,2012.0
MEAC,Coppin State,coppin-state,2012.0
Southland (West),Sam Houston State,sam-houston-state,2012.0
MEAC,Bethune-Cookman,bethune-cookman,2012.0
Horizon,Illinois-Chicago,illinois-chicago,2012.0
Pac-12,Utah,utah,2012.0
Big South,Virginia Military Institute,virginia-military-institute,2012.0
Summit,South Dakota,south-dakota,2012.0
Big South,Liberty,liberty,2012.0
Southern (North),North Carolina-Greensboro,north-carolina-greensboro,2012.0
Big Sky,Sacramento State,sacramento-state,2012.0
Ivy,Dartmouth,dartmouth,2012.0
MEAC,Hampton,hampton,2012.0
AEC,New Hampshire,new-hampshire,2012.0
SWAC,Texas Southern,texas-southern,2012.0
Big Sky,Montana State,montana-state,2012.0
CAA,William & Mary,william-mary,2012.0
Big Sky,Idaho State,idaho-state,2012.0
Patriot,Army,army,2012.0
OVC,Eastern Illinois,eastern-illinois,2012.0
NEC,Mount St. Mary's,mount-st-marys,2012.0
NEC,Monmouth,monmouth,2012.0
Southland (East),Southeastern Louisiana,southeastern-louisiana,2012.0
GWC,NJIT,njit,2012.0
Southland (West),Texas A&M-Corpus Christi,texas-am-corpus-christi,2012.0
MEAC,North Carolina A&T,north-carolina-at,2012.0
Ivy,Brown,brown,2012.0
Sun Belt (West),Louisiana-Monroe,louisiana-monroe,2012.0
Big West,Cal State Northridge,cal-state-northridge,2012.0
Big South,Radford,radford,2012.0
NEC,Saint Francis (PA),saint-francis-pa,2012.0
OVC,Southern Illinois-Edwardsville,southern-illinois-edwardsville,2012.0
MAAC,Saint Peter's,saint-peters,2012.0
AEC,Hartford,hartford,2012.0
GWC,Texas-Pan American,texas-pan-american,2012.0
Southern (South),Citadel,citadel,2012.0
MEAC,Howard,howard,2012.0
Patriot,Navy,navy,2012.0
MAAC,Canisius,canisius,2012.0
Patriot,Colgate,colgate,2012.0
A-Sun,Kennesaw State,kennesaw-state,2012.0
MEAC,Florida A&M,florida-am,2012.0
Big West,California-Davis,california-davis,2012.0
MAC (West),Northern Illinois,northern-illinois,2012.0
SWAC,Alabama State,alabama-state,2012.0
GWC,Houston Baptist,houston-baptist,2012.0
SWAC,Southern,southern,2012.0
CAA,Towson,towson,2012.0
Big Sky,Northern Arizona,northern-arizona,2012.0
SWAC,Arkansas-Pine Bluff,arkansas-pine-bluff,2012.0
MEAC,Maryland-Eastern Shore,maryland-eastern-shore,2012.0
SWAC,Prairie View,prairie-view,2012.0
NEC,Fairleigh Dickinson,fairleigh-dickinson,2012.0
OVC,Tennessee-Martin,tennessee-martin,2012.0
Southland (East),Central Arkansas,central-arkansas,2012.0
SWAC,Jackson State,jackson-state,2012.0
NEC,Bryant,bryant,2012.0
Southland (East),Nicholls State,nicholls-state,2012.0
GWC,Chicago State,chicago-state,2012.0
SWAC,Alabama A&M,alabama-am,2012.0
SWAC,Alcorn State,alcorn-state,2012.0
AEC,Maryland-Baltimore County,maryland-baltimore-county,2012.0
AEC,Binghamton,binghamton,2012.0
Ind,Longwood,longwood,2012.0
MEAC,South Carolina State,south-carolina-state,2012.0
SWAC,Grambling,grambling,2012.0
Big Ten,Indiana,indiana,2013.0
Big East,Louisville,louisville,2013.0
SEC,Florida,florida,2013.0
ACC,Duke,duke,2013.0
Big Ten,Michigan,michigan,2013.0
Big 12,Kansas,kansas,2013.0
WCC,Gonzaga,gonzaga,2013.0
Big East,Syracuse,syracuse,2013.0
Big Ten,Ohio State,ohio-state,2013.0
Big East,Pittsburgh,pittsburgh,2013.0
Big Ten,Wisconsin,wisconsin,2013.0
Big Ten,Michigan State,michigan-state,2013.0
Pac-12,Arizona,arizona,2013.0
ACC,Miami (FL),miami-fl,2013.0
A-10,Virginia Commonwealth,virginia-commonwealth,2013.0
Big Ten,Minnesota,minnesota,2013.0
MVC,Creighton,creighton,2013.0
Big East,Georgetown,georgetown,2013.0
Big 12,Oklahoma State,oklahoma-state,2013.0
SEC,Missouri,missouri,2013.0
Big 12,Baylor,baylor,2013.0
MVC,Wichita State,wichita-state,2013.0
ACC,North Carolina,north-carolina,2013.0
WCC,Saint Mary's (CA),saint-marys-ca,2013.0
Big 12,Iowa State,iowa-state,2013.0
Big East,Cincinnati,cincinnati,2013.0
SEC,Mississippi,mississippi,2013.0
A-10,Saint Louis,saint-louis,2013.0
ACC,North Carolina State,north-carolina-state,2013.0
Big Ten,Iowa,iowa,2013.0
Big East,Marquette,marquette,2013.0
SEC,Kentucky,kentucky,2013.0
Pac-12,Oregon,oregon,2013.0
Big East,Notre Dame,notre-dame,2013.0
MWC,Colorado State,colorado-state,2013.0
Big 12,Kansas State,kansas-state,2013.0
MWC,New Mexico,new-mexico,2013.0
Big Ten,Illinois,illinois,2013.0
MWC,San Diego State,san-diego-state,2013.0
MWC,Nevada-Las Vegas,nevada-las-vegas,2013.0
ACC,Virginia,virginia,2013.0
Pac-12,UCLA,ucla,2013.0
CUSA,Memphis,memphis,2013.0
Pac-12,Colorado,colorado,2013.0
Big East,Connecticut,connecticut,2013.0
Big 12,Oklahoma,oklahoma,2013.0
Pac-12,Stanford,stanford,2013.0
ACC,Maryland,maryland,2013.0
Sun Belt (East),Middle Tennessee,middle-tennessee,2013.0
A-10,Butler,butler,2013.0
Big East,Villanova,villanova,2013.0
WCC,Brigham Young,brigham-young,2013.0
Pac-12,California,california,2013.0
OVC (East),Belmont,belmont,2013.0
A-10,La Salle,la-salle,2013.0
SEC,Arkansas,arkansas,2013.0
SEC,Alabama,alabama,2013.0
MVC,Illinois State,illinois-state,2013.0
A-10,Temple,temple,2013.0
MWC,Boise State,boise-state,2013.0
A-10,Dayton,dayton,2013.0
Big East,Providence,providence,2013.0
WAC,Denver,denver,2013.0
Big Ten,Purdue,purdue,2013.0
SEC,Tennessee,tennessee,2013.0
CUSA,Southern Mississippi,southern-mississippi,2013.0
Pac-12,Arizona State,arizona-state,2013.0
MVC,Northern Iowa,northern-iowa,2013.0
MAC (East),Akron,akron,2013.0
Pac-12,Washington,washington,2013.0
A-10,Xavier,xavier,2013.0
A-10,Saint Joseph's,saint-josephs,2013.0
Southern (South),Davidson,davidson,2013.0
Horizon,Valparaiso,valparaiso,2013.0
Patriot,Bucknell,bucknell,2013.0
MAC (East),Ohio,ohio,2013.0
A-10,Richmond,richmond,2013.0
Big 12,Texas,texas,2013.0
Horizon,Detroit Mercy,detroit-mercy,2013.0
Pac-12,Washington State,washington-state,2013.0
ACC,Georgia Tech,georgia-tech,2013.0
WCC,Santa Clara,santa-clara,2013.0
SEC,Texas A&M,texas-am,2013.0
Pac-12,Southern California,southern-california,2013.0
SEC,Vanderbilt,vanderbilt,2013.0
ACC,Boston College,boston-college,2013.0
Pac-12,Oregon State,oregon-state,2013.0
Big East,Rutgers,rutgers,2013.0
Big Sky,Weber State,weber-state,2013.0
ACC,Clemson,clemson,2013.0
SEC,Louisiana State,louisiana-state,2013.0
A-10,Massachusetts,massachusetts,2013.0
Big East,St. John's (NY),st-johns-ny,2013.0
ACC,Florida State,florida-state,2013.0
AEC,Stony Brook,stony-brook,2013.0
Big East,Seton Hall,seton-hall,2013.0
WAC,Louisiana Tech,louisiana-tech,2013.0
MWC,Wyoming,wyoming,2013.0
Big Ten,Northwestern,northwestern,2013.0
SEC,Georgia,georgia,2013.0
MVC,Evansville,evansville,2013.0
Summit,North Dakota State,north-dakota-state,2013.0
WAC,New Mexico State,new-mexico-state,2013.0
MVC,Indiana State,indiana-state,2013.0
Pac-12,Utah,utah,2013.0
CUSA,Texas-El Paso,texas-el-paso,2013.0
Big 12,West Virginia,west-virginia,2013.0
Big Ten,Nebraska,nebraska,2013.0
Big East,South Florida,south-florida,2013.0
Southland,Stephen F. Austin,stephen-f-austin,2013.0
A-10,George Washington,george-washington,2013.0
MWC,Air Force,air-force,2013.0
MAAC,Iona,iona,2013.0
Ivy,Harvard,harvard,2013.0
Patriot,Lehigh,lehigh,2013.0
WAC,Utah State,utah-state,2013.0
CUSA,Central Florida,central-florida,2013.0
A-10,St. Bonaventure,st-bonaventure,2013.0
MVC,Drake,drake,2013.0
ACC,Wake Forest,wake-forest,2013.0
MWC,Fresno State,fresno-state,2013.0
Ivy,Princeton,princeton,2013.0
Big Ten,Penn State,penn-state,2013.0
A-Sun,Florida Gulf Coast,florida-gulf-coast,2013.0
A-10,Charlotte,charlotte,2013.0
CUSA,East Carolina,east-carolina,2013.0
WCC,San Francisco,san-francisco,2013.0
MAC (East),Kent State,kent-state,2013.0
MAAC,Canisius,canisius,2013.0
Summit,South Dakota State,south-dakota-state,2013.0
Horizon,Wright State,wright-state,2013.0
CAA,George Mason,george-mason,2013.0
Big West,Pacific,pacific,2013.0
CUSA,Tulane,tulane,2013.0
ACC,Virginia Tech,virginia-tech,2013.0
Big East,DePaul,depaul,2013.0
Horizon,Green Bay,green-bay,2013.0
OVC (East),Eastern Kentucky,eastern-kentucky,2013.0
MAAC,Loyola (MD),loyola-md,2013.0
MVC,Bradley,bradley,2013.0
OVC (West),Murray State,murray-state,2013.0
Sun Belt (West),Arkansas State,arkansas-state,2013.0
A-Sun,Mercer,mercer,2013.0
MAAC,Niagara,niagara,2013.0
WAC,Texas-Arlington,texas-arlington,2013.0
MWC,Nevada,nevada,2013.0
MAC (West),Western Michigan,western-michigan,2013.0
Southland,Northwestern State,northwestern-state,2013.0
CUSA,Alabama-Birmingham,alabama-birmingham,2013.0
NEC,Robert Morris,robert-morris,2013.0
SEC,Auburn,auburn,2013.0
Big West,California-Irvine,california-irvine,2013.0
Southern (South),College of Charleston,college-of-charleston,2013.0
AEC,Vermont,vermont,2013.0
Southland,Oral Roberts,oral-roberts,2013.0
CUSA,Houston,houston,2013.0
Big West,Cal Poly,cal-poly,2013.0
MAAC,Fairfield,fairfield,2013.0
WCC,San Diego,san-diego,2013.0
CUSA,Southern Methodist,southern-methodist,2013.0
AEC,Boston University,boston-university,2013.0
A-10,Rhode Island,rhode-island,2013.0
Sun Belt (East),Western Kentucky,western-kentucky,2013.0
SEC,South Carolina,south-carolina,2013.0
CAA,Delaware,delaware,2013.0
MVC,Southern Illinois,southern-illinois,2013.0
AEC,Albany (NY),albany-ny,2013.0
Horizon,Loyola (IL),loyola-il,2013.0
CUSA,Tulsa,tulsa,2013.0
CAA,Drexel,drexel,2013.0
Big Sky,Montana,montana,2013.0
Big West,Long Beach State,long-beach-state,2013.0
MAAC,Rider,rider,2013.0
CAA,Northeastern,northeastern,2013.0
Patriot,Army,army,2013.0
Big West,Hawaii,hawaii,2013.0
CAA,James Madison,james-madison,2013.0
Horizon,Illinois-Chicago,illinois-chicago,2013.0
Summit,Western Illinois,western-illinois,2013.0
CAA,Towson,towson,2013.0
MAC (East),Buffalo,buffalo,2013.0
MAAC,Manhattan,manhattan,2013.0
CAA,Georgia State,georgia-state,2013.0
Big South (South),Charleston Southern,charleston-southern,2013.0
NEC,Bryant,bryant,2013.0
Sun Belt (East),Florida International,florida-international,2013.0
SWAC,Texas Southern,texas-southern,2013.0
Horizon,Youngstown State,youngstown-state,2013.0
OVC (East),Tennessee State,tennessee-state,2013.0
WAC,Idaho,idaho,2013.0
MEAC,North Carolina Central,north-carolina-central,2013.0
MAC (West),Toledo,toledo,2013.0
SWAC,Southern,southern,2013.0
MVC,Missouri State,missouri-state,2013.0
Sun Belt (East),South Alabama,south-alabama,2013.0
Big West,Cal State Fullerton,cal-state-fullerton,2013.0
Patriot,Lafayette,lafayette,2013.0
WCC,Loyola Marymount,loyola-marymount,2013.0
Big 12,Texas Tech,texas-tech,2013.0
NEC,Long Island University,long-island-university,2013.0
Big South (South),Gardner-Webb,gardner-webb,2013.0
NEC,Wagner,wagner,2013.0
Ivy,Columbia,columbia,2013.0
MAC (East),Bowling Green State,bowling-green-state,2013.0
Big West,California-Davis,california-davis,2013.0
Southern (North),Elon,elon,2013.0
A-Sun,South Carolina Upstate,south-carolina-upstate,2013.0
CUSA,Marshall,marshall,2013.0
Big South (South),North Carolina-Asheville,north-carolina-asheville,2013.0
WCC,Pepperdine,pepperdine,2013.0
Big West,Cal State Northridge,cal-state-northridge,2013.0
Ivy,Yale,yale,2013.0
CAA,William & Mary,william-mary,2013.0
Big West,California-Santa Barbara,california-santa-barbara,2013.0
Big 12,Texas Christian,texas-christian,2013.0
Sun Belt (West),Arkansas-Little Rock,arkansas-little-rock,2013.0
Summit,Oakland,oakland,2013.0
OVC (East),Jacksonville State,jacksonville-state,2013.0
WAC,Seattle,seattle,2013.0
A-10,Duquesne,duquesne,2013.0
SEC,Mississippi State,mississippi-state,2013.0
Big South (North),High Point,high-point,2013.0
NEC,Quinnipiac,quinnipiac,2013.0
Sun Belt (West),Louisiana-Lafayette,louisiana-lafayette,2013.0
OVC (East),Morehead State,morehead-state,2013.0
MEAC,Morgan State,morgan-state,2013.0
MEAC,Savannah State,savannah-state,2013.0
OVC (West),Southeast Missouri State,southeast-missouri-state,2013.0
Big South (South),Coastal Carolina,coastal-carolina,2013.0
MEAC,Norfolk State,norfolk-state,2013.0
WCC,Portland,portland,2013.0
AEC,Hartford,hartford,2013.0
NEC,Mount St. Mary's,mount-st-marys,2013.0
Sun Belt (East),Florida Atlantic,florida-atlantic,2013.0
NEC,St. Francis (NY),st-francis-ny,2013.0
MAC (West),Central Michigan,central-michigan,2013.0
Patriot,Holy Cross,holy-cross,2013.0
MAC (West),Eastern Michigan,eastern-michigan,2013.0
Ivy,Brown,brown,2013.0
MAAC,Marist,marist,2013.0
WAC,Texas State,texas-state,2013.0
Sun Belt (West),North Texas,north-texas,2013.0
Ind,Cal State Bakersfield,cal-state-bakersfield,2013.0
Southland,Sam Houston State,sam-houston-state,2013.0
A-Sun,Stetson,stetson,2013.0
Southern (North),Western Carolina,western-carolina,2013.0
WAC,Texas-San Antonio,texas-san-antonio,2013.0
MAC (East),Miami (OH),miami-oh,2013.0
MAC (West),Ball State,ball-state,2013.0
Southern (South),Wofford,wofford,2013.0
A-10,Fordham,fordham,2013.0
MEAC,North Carolina A&T,north-carolina-at,2013.0
Ivy,Pennsylvania,pennsylvania,2013.0
Summit,IPFW,ipfw,2013.0
Ivy,Cornell,cornell,2013.0
Horizon,Cleveland State,cleveland-state,2013.0
A-Sun,North Florida,north-florida,2013.0
Summit,South Dakota,south-dakota,2013.0
CAA,Old Dominion,old-dominion,2013.0
Big Sky,Northern Colorado,northern-colorado,2013.0
A-Sun,Northern Kentucky,northern-kentucky,2013.0
Southern (North),Appalachian State,appalachian-state,2013.0
NEC,Central Connecticut State,central-connecticut-state,2013.0
AEC,New Hampshire,new-hampshire,2013.0
GWC,NJIT,njit,2013.0
Big Sky,North Dakota,north-dakota,2013.0
Patriot,American,american,2013.0
Big South (South),Winthrop,winthrop,2013.0
Patriot,Colgate,colgate,2013.0
Sun Belt (East),Troy,troy,2013.0
OVC (West),Eastern Illinois,eastern-illinois,2013.0
MAAC,Saint Peter's,saint-peters,2013.0
Big South (North),Liberty,liberty,2013.0
Ivy,Dartmouth,dartmouth,2013.0
MEAC,Hampton,hampton,2013.0
WAC,San Jose State,san-jose-state,2013.0
Big Sky,Sacramento State,sacramento-state,2013.0
Southern (North),North Carolina-Greensboro,north-carolina-greensboro,2013.0
MEAC,Bethune-Cookman,bethune-cookman,2013.0
AEC,Maine,maine,2013.0
Southern (South),Georgia Southern,georgia-southern,2013.0
OVC (East),Tennessee Tech,tennessee-tech,2013.0
NEC,Sacred Heart,sacred-heart,2013.0
Southern (North),Samford,samford,2013.0
CAA,North Carolina-Wilmington,north-carolina-wilmington,2013.0
Big South (North),Campbell,campbell,2013.0
MAAC,Siena,siena,2013.0
Horizon,Milwaukee,milwaukee,2013.0
Southern (North),Chattanooga,chattanooga,2013.0
A-Sun,Jacksonville,jacksonville,2013.0
Southland,Nicholls State,nicholls-state,2013.0
Southland,Southeastern Louisiana,southeastern-louisiana,2013.0
CAA,Hofstra,hofstra,2013.0
Big Sky,Eastern Washington,eastern-washington,2013.0
Big Sky,Portland State,portland-state,2013.0
Southland,Central Arkansas,central-arkansas,2013.0
Big South (North),Radford,radford,2013.0
Big Sky,Montana State,montana-state,2013.0
CUSA,Rice,rice,2013.0
MEAC,Delaware State,delaware-state,2013.0
OVC (West),Southern Illinois-Edwardsville,southern-illinois-edwardsville,2013.0
Patriot,Navy,navy,2013.0
GWC,Utah Valley,utah-valley,2013.0
Big South (North),Virginia Military Institute,virginia-military-institute,2013.0
Big West,California-Riverside,california-riverside,2013.0
Southland,McNeese State,mcneese-state,2013.0
A-Sun,Lipscomb,lipscomb,2013.0
Southland,Texas A&M-Corpus Christi,texas-am-corpus-christi,2013.0
GWC,Chicago State,chicago-state,2013.0
MAC (West),Northern Illinois,northern-illinois,2013.0
NEC,Monmouth,monmouth,2013.0
Big Sky,Northern Arizona,northern-arizona,2013.0
Big Sky,Southern Utah,southern-utah,2013.0
SWAC,Arkansas-Pine Bluff,arkansas-pine-bluff,2013.0
OVC (West),Austin Peay,austin-peay,2013.0
AEC,Maryland-Baltimore County,maryland-baltimore-county,2013.0
MEAC,Coppin State,coppin-state,2013.0
Big Sky,Idaho State,idaho-state,2013.0
A-Sun,East Tennessee State,east-tennessee-state,2013.0
GWC,Texas-Pan American,texas-pan-american,2013.0
Summit,Missouri-Kansas City,missouri-kansas-city,2013.0
Sun Belt (West),Louisiana-Monroe,louisiana-monroe,2013.0
SWAC,Alcorn State,alcorn-state,2013.0
MEAC,Howard,howard,2013.0
SWAC,Jackson State,jackson-state,2013.0
NEC,Saint Francis (PA),saint-francis-pa,2013.0
GWC,Houston Baptist,houston-baptist,2013.0
Summit,Nebraska-Omaha,nebraska-omaha,2013.0
A-Sun,Kennesaw State,kennesaw-state,2013.0
SWAC,Prairie View,prairie-view,2013.0
Summit,IUPUI,iupui,2013.0
MEAC,Florida A&M,florida-am,2013.0
OVC (West),Tennessee-Martin,tennessee-martin,2013.0
Southern (South),Citadel,citadel,2013.0
Southern (South),Furman,furman,2013.0
Big South (South),Presbyterian,presbyterian,2013.0
SWAC,Alabama State,alabama-state,2013.0
NEC,Fairleigh Dickinson,fairleigh-dickinson,2013.0
MEAC,South Carolina State,south-carolina-state,2013.0
SWAC,Alabama A&M,alabama-am,2013.0
AEC,Binghamton,binghamton,2013.0
SWAC,Mississippi Valley State,mississippi-valley-state,2013.0
Big South (North),Longwood,longwood,2013.0
MEAC,Maryland-Eastern Shore,maryland-eastern-shore,2013.0
Southland,Lamar,lamar,2013.0
Ind,New Orleans,new-orleans,2013.0
SWAC,Grambling,grambling,2013.0
AAC,Louisville,louisville,2014.0
Pac-12,Arizona,arizona,2014.0
SEC,Florida,florida,2014.0
Big 12,Kansas,kansas,2014.0
Big Ten,Wisconsin,wisconsin,2014.0
ACC,Duke,duke,2014.0
Big Ten,Michigan State,michigan-state,2014.0
Big 12,Oklahoma State,oklahoma-state,2014.0
Big East,Villanova,villanova,2014.0
Big Ten,Iowa,iowa,2014.0
Big 12,Iowa State,iowa-state,2014.0
Big Ten,Michigan,michigan,2014.0
Pac-12,UCLA,ucla,2014.0
ACC,Virginia,virginia,2014.0
SEC,Kentucky,kentucky,2014.0
Big East,Creighton,creighton,2014.0
Big Ten,Ohio State,ohio-state,2014.0
ACC,Pittsburgh,pittsburgh,2014.0
SEC,Tennessee,tennessee,2014.0
AAC,Connecticut,connecticut,2014.0
MVC,Wichita State,wichita-state,2014.0
ACC,Syracuse,syracuse,2014.0
Big 12,Baylor,baylor,2014.0
Pac-12,Oregon,oregon,2014.0
WCC,Gonzaga,gonzaga,2014.0
AAC,Cincinnati,cincinnati,2014.0
ACC,North Carolina,north-carolina,2014.0
MWC,San Diego State,san-diego-state,2014.0
Big 12,Oklahoma,oklahoma,2014.0
A-10,Virginia Commonwealth,virginia-commonwealth,2014.0
SEC,Arkansas,arkansas,2014.0
AAC,Southern Methodist,southern-methodist,2014.0
Pac-12,Stanford,stanford,2014.0
Pac-12,Arizona State,arizona-state,2014.0
AAC,Memphis,memphis,2014.0
MWC,New Mexico,new-mexico,2014.0
Big 12,Texas,texas,2014.0
Pac-12,Utah,utah,2014.0
ACC,Florida State,florida-state,2014.0
CUSA,Louisiana Tech,louisiana-tech,2014.0
Big 12,Kansas State,kansas-state,2014.0
Big East,Xavier,xavier,2014.0
Big 12,West Virginia,west-virginia,2014.0
Big Ten,Minnesota,minnesota,2014.0
Big East,St. John's (NY),st-johns-ny,2014.0
WCC,Brigham Young,brigham-young,2014.0
A-10,Saint Louis,saint-louis,2014.0
Big East,Providence,providence,2014.0
ACC,Maryland,maryland,2014.0
Big Ten,Indiana,indiana,2014.0
ACC,Clemson,clemson,2014.0
Big East,Georgetown,georgetown,2014.0
Pac-12,Colorado,colorado,2014.0
Ivy,Harvard,harvard,2014.0
Pac-12,California,california,2014.0
A-10,Massachusetts,massachusetts,2014.0
A-10,George Washington,george-washington,2014.0
A-10,Dayton,dayton,2014.0
Big Ten,Illinois,illinois,2014.0
Big Ten,Nebraska,nebraska,2014.0
Big East,Marquette,marquette,2014.0
SEC,Missouri,missouri,2014.0
SEC,Louisiana State,louisiana-state,2014.0
WCC,Saint Mary's (CA),saint-marys-ca,2014.0
A-10,Saint Joseph's,saint-josephs,2014.0
ACC,North Carolina State,north-carolina-state,2014.0
MWC,Boise State,boise-state,2014.0
Big 12,Texas Tech,texas-tech,2014.0
MWC,Nevada-Las Vegas,nevada-las-vegas,2014.0
SEC,Alabama,alabama,2014.0
Big Ten,Purdue,purdue,2014.0
ACC,Notre Dame,notre-dame,2014.0
SEC,Georgia,georgia,2014.0
SEC,Mississippi,mississippi,2014.0
Big Ten,Penn State,penn-state,2014.0
ACC,Miami (FL),miami-fl,2014.0
