class,ht,player,pos,tm_link,player_link,year
SO,80.0,Carl Baker,F,arkansas,carl-baker-1,2001
FR,,Carter Clark,G,arkansas,carter-clark-1,2001
JR,73.0,T.J. Cleveland,G,arkansas,tj-cleveland-1,2001
SR,76.0,Brandon Davis,G,arkansas,brandon-davis-5,2001
JR,73.0,Brandon Dean,G,arkansas,brandon-dean-1,2001
SO,79.0,Blake Eddins,G,arkansas,blake-eddins-1,2001
JR,76.0,Teddy Gipson,G,arkansas,teddy-gipson-1,2001
JR,80.0,Dionisio Gomez,F,arkansas,dionisio-gomez-1,2001
SO,80.0,Joe Johnson,F,arkansas,joe-johnson-1,2001
SO,79.0,Alonzo Lane,F,arkansas,alonzo-lane-1,2001
JR,73.0,Jannero Pargo,G,arkansas,jannero-pargo-1,2001
SO,81.0,Larry Satchell,F,arkansas,larry-satchell-1,2001
SO,70.0,Charles Tatum,G,arkansas,charles-tatum-1,2001
JR,79.0,David Bluthenthal,G,southern-california,david-bluthenthal-1,2001
SO,75.0,Gennaro Busterna,G,southern-california,gennaro-busterna-1,2001
SO,83.0,Kostas Charissis,C,southern-california,kostas-charissis-1,2001
JR,79.0,Sam Clancy,F,southern-california,sam-clancy-1,2001
SR,,Abdullah Elmagbari,F,southern-california,abdullah-elmagbari-1,2001
JR,,Rob Eres,F,southern-california,rob-eres-1,2001
FR,77.0,Desmon Farmer,G,southern-california,desmon-farmer-1,2001
JR,69.0,Brandon Granville,G,southern-california,brandon-granville-1,2001
SO,,Nate Hair,G,southern-california,nate-hair-1,2001
JR,,Jamie Hooper,G,southern-california,jamie-hooper-2,2001
SO,73.0,Robert Hutchinson,G,southern-california,robert-hutchinson-1,2001
FR,87.0,Luke Minor,C,southern-california,luke-minor-1,2001
SR,,Tyler Murphy,G,southern-california,tyler-murphy-1,2001
SR,81.0,Brian Scalabrine,C,southern-california,brian-scalabrine-1,2001
SR,76.0,Jeff Trepagnier,G,southern-california,jeff-trepagnier-1,2001
SR,80.0,Jarvis Turner,F,southern-california,jarvis-turner-1,2001
JR,80.0,Mamadou Cellou Barry,F,temple,mamadou-cellou-barry-1,2001
JR,74.0,Lynn Greer,G,temple,lynn-greer-1,2001
FR,77.0,David Hawkins,F,temple,david-hawkins-2,2001
SO,77.0,Greg Jefferson,F,temple,greg-jefferson-1,2001
JR,82.0,Kevin Lyde,C,temple,kevin-lyde-1,2001
JR,82.0,Ron Rollerson,C,temple,ron-rollerson-1,2001
JR,78.0,Rouldra Thomas,F,temple,rouldra-thomas-1,2001
SR,76.0,Quincy Wadley,G,temple,quincy-wadley-1,2001
JR,78.0,Alex Wesby,F,temple,alex-wesby-1,2001
JR,77.0,Rodney Crawford,F,cincinnati,rodney-crawford-1,2001
JR,81.0,Jamaal Davis,F,cincinnati,jamaal-davis-1,2001
FR,80.0,Rod Flowers,F,cincinnati,rod-flowers-2,2001
SO,83.0,B.J. Grove,C,cincinnati,bj-grove-1,2001
JR,79.0,Antwan Jones,F,cincinnati,antwan-jones-1,2001
SO,83.0,Donald Little,C,cincinnati,donald-little-1,2001
JR,72.0,Steve Logan,G,cincinnati,steve-logan-1,2001
JR,76.0,Immanuel McElroy,F,cincinnati,immanuel-mcelroy-1,2001
SO,74.0,Antwan Peek,F,cincinnati,antwan-peek-1,2001
SO,74.0,Kenny Satterfield,G,cincinnati,kenny-satterfield-1,2001
SO,78.0,Leonard Stokes,F,cincinnati,leonard-stokes-1,2001
FR,76.0,Field Williams,G,cincinnati,field-williams-1,2001
SO,79.0,Omar Bynum,F,iowa-state,omar-bynum-1,2001
SO,74.0,Brad Davis,G,iowa-state,brad-davis-2,2001
SR,77.0,Richard Evans,F-G,iowa-state,richard-evans-1,2001
FR,75.0,Zach Fortune,G,iowa-state,zach-fortune-1,2001
SO,75.0,Brandon Hawkins,G,iowa-state,brandon-hawkins-2,2001
SR,73.0,Kantrail Horton,G,iowa-state,kantrail-horton-1,2001
SO,75.0,Brandon Nicol,G,iowa-state,brandon-nicol-1,2001
JR,79.0,Tyray Pearson,F,iowa-state,tyray-pearson-1,2001
FR,77.0,Shane Power,F,iowa-state,shane-power-1,2001
SR,81.0,Martin Rancik,F,iowa-state,martin-rancik-1,2001
SR,82.0,Paul Shirley,F-C,iowa-state,paul-shirley-1,2001
FR,85.0,Andrew Skoglund,C,iowa-state,andrew-skoglund-1,2001
FR,73.0,Jake Sullivan,G,iowa-state,jake-sullivan-1,2001
SR,75.0,Jamaal Tinsley,G,iowa-state,jamaal-tinsley-1,2001
JR,76.0,Brian Brown,G,ohio-state,brian-brown-2,2001
SO,77.0,Sean Connolly,G,ohio-state,sean-connolly-1,2001
SO,73.0,Brent Darby,G,ohio-state,brent-darby-1,2001
JR,81.0,Will Dudley,F,ohio-state,will-dudley-1,2001
JR,,Kel Frazier,F,ohio-state,kel-frazier-1,2001
SO,70.0,Ryan Heflin,G,ohio-state,ryan-heflin-1,2001
SR,83.0,Ken Johnson,C,ohio-state,ken-johnson-2,2001
JR,78.0,Tim Martin,F,ohio-state,tim-martin-1,2001
SO,80.0,Cobe Ocokoljic,F,ohio-state,cobe-ocokoljic-1,2001
FR,84.0,Velimir Radinovic,C,ohio-state,velimir-radinovic-1,2001
JR,76.0,Doylan Robinson,G,ohio-state,doylan-robinson-1,2001
